epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
81,5841.76,1.33303,0.7293,1.09397,0.8447,0.80589,0.81201,0.45384,1.61364,0.85122,1.23201,0.008416,0.008416,0.008416
82,5913.61,1.33898,0.73425,1.10304,0.85741,0.81434,0.84376,0.46423,1.60408,0.82036,1.22119,0.0083962,0.0083962,0.0083962
83,5985.59,1.31496,0.72283,1.09891,0.86494,0.81618,0.85341,0.46598,1.60882,0.83109,1.22963,0.0083764,0.0083764,0.0083764
84,6057.12,1.33343,0.72424,1.10274,0.82988,0.8231,0.82588,0.46332,1.59644,0.85919,1.22428,0.0083566,0.0083566,0.0083566
85,6129.89,1.353,0.73581,1.1053,0.88246,0.83694,0.86125,0.46887,1.62477,0.79901,1.23528,0.0083368,0.0083368,0.0083368
86,6201.73,1.32781,0.72209,1.0963,0.8955,0.8101,0.86371,0.48506,1.61116,0.80131,1.2251,0.008317,0.008317,0.008317
87,6273.65,1.3206,0.729,1.0962,0.87834,0.82082,0.84584,0.46798,1.61226,0.80512,1.22137,0.0082972,0.0082972,0.0082972
88,6344.59,1.3118,0.71593,1.0901,0.84796,0.8145,0.82846,0.46855,1.60112,0.82777,1.22323,0.0082774,0.0082774,0.0082774
89,6417.05,1.32758,0.71868,1.09513,0.85683,0.8352,0.84289,0.47483,1.58921,0.82263,1.21101,0.0082576,0.0082576,0.0082576
90,6488.83,1.30139,0.71045,1.08547,0.83645,0.84504,0.84274,0.4703,1.61696,0.80524,1.23439,0.0082378,0.0082378,0.0082378
91,6560.82,1.30752,0.71223,1.09586,0.87618,0.83863,0.86303,0.48701,1.58849,0.80113,1.2085,0.008218,0.008218,0.008218
92,6631.66,1.31812,0.72501,1.08925,0.88622,0.81184,0.85333,0.47447,1.60318,0.8171,1.21799,0.0081982,0.0081982,0.0081982
